entity_group,score,word,start,end
ANAT,0.3661768,da,15,18
CHEM,0.70880836,DRS,91,95
DISO,0.6832179,douleurs épigastriques,102,125
PROC,0.8687984,irradiation,130,142
CHEM,0.50604206,oplate droite,149,162
PROC,0.500785,médication,225,236
LIVB,0.51565903,patiente,242,251
PROC,0.40032023,médication,283,294
CHEM,0.9548504,clopidogrel,342,354
PROC,0.4508123,admission,372,381
CHEM,0.9676875,rabéprazole,411,423
LIVB,0.9574944,patiente,435,444
CHEM,0.95257866,pantoprazole,451,464
PHYS,0.4252103,interaction,530,541
CHEM,0.9540036,clopidogrel,567,579
LIVB,0.7790706,patiente,584,593
CHEM,0.29906565,fume,596,601
PHYS,0.48219258,alimentation,612,625
ANAT,0.33210072,diète,639,645
CHEM,0.43337837,Dietaray,645,654
CHEM,0.49032897,St,666,669
DISO,0.5956723,opping Hypertension,669,688
DISO,0.5760411,DASH,690,694
PROC,0.33366913,exercice,713,721
PROC,0.87515175,examen physique,753,768
PHYS,0.28156504,tension,772,780
ANAT_PHYS,0.3336613,artérielle,780,791
CHEM,0.36939034,/80 mm,802,808
ANAT,0.4535627,Hg,808,811
ANAT,0.22732697,pouls,818,824
CHEM,0.17453955,battements,842,853
PROC,0.5077882,radiographie,868,881
ANAT_PROC,0.59120834,pulmonaire,881,892
LIVB,0.42266956,patiente,923,932
CHEM,0.62803394,hémoglobine,981,993
CHEM,0.5416993,119 g/L,995,1003
CHEM,0.5692389,intervalle,1005,1015
CHEM,0.59810984,LDL,1035,1039
CHEM,0.6171663,"1,37 mmol/L",1041,1053
ANAT,0.27133492,2,1056,1058
CHEM,0.35218707,HDL,1060,1064
CHEM,0.6701356,"2,3 mmol/L",1066,1077
CHEM,0.6517542,triglycérides,1078,1092
CHEM,0.4917171,mmol/L,1098,1105
CHEM,0.7637307,apolipoprotéines B,1114,1133
CHEM,0.5459822,"0,",1135,1138
CHEM,0.68164605,g,1140,1142
CHEM,0.48244095,L,1143,1144
CHEM,0.75177276,créatine kinase,1153,1169
CHEM,0.5583551,CK,1171,1173
CHEM,0.55441004,U/L,1179,1183
CHEM,0.5815216,troponines T,1194,1207
CHEM,0.67993397,22 ng/L,1209,1217
CHEM,0.7284176,protéine C réactive,1227,1247
CHEM,0.5525018,CRP,1249,1252
CHEM,0.68666446,"0,28 mg/L",1255,1265
CHEM,0.5445942,2,1268,1270
PHEN,0.22536597,sédimentation,1272,1286
CHEM,0.63661075,2 mm/h,1288,1295
CHEM,0.31088945,0,1297,1298
CHEM,0.89665586,aspartate aminotransférase,1306,1332
CHEM,0.6236653,AST,1334,1337
CHEM,0.8366204,alanine aminotransférase,1342,1366
CHEM,0.65012825,ALT,1368,1371
CHEM,0.76948035,bilirubine,1376,1387
CHEM,0.89206344,gamma-glutamyl transférase,1391,1418
CHEM,0.6647428,GGT,1420,1423
CHEM,0.804636,phosphatase alcaline,1428,1449
CHEM,0.85363317,amylase,1453,1460
CHEM,0.5930917,lipase,1464,1471
PROC,0.9493391,analyse,1477,1484
ANAT,0.49628934,u,1484,1486
ANAT_PROC,0.57358503,tinaire,1486,1493
PROC,0.9478854,coronarographies,1573,1590
PROC,0.92422205,échographies,1596,1609
ANAT_PROC,0.8820827,cardiaques,1609,1620
PROC,0.81090385,épreuves d’effort,1629,1647
DEVI,0.18924016,tapis,1650,1656
ANAT_PROC,0.2742764,roulant,1656,1664
ANAT,0.22417194,dilatation,1684,1695
DISO,0.8616069,lésion,1726,1733
DISO,0.89520764,resténose,1769,1779
PROC,0.96930355,coronarographies,1798,1815
PHYS,0.18209016,pressions,1820,1830
ANAT_PROC,0.44476864,pulmonaires,1830,1842
DISO,0.9765461,maladie,1864,1872
ANAT_DISO,0.8192265,valvulaire,1872,1883
PROC,0.86613417,échographies,1898,1911
PROC,0.64589155,électrophysiologiques,1927,1949
PROC,0.9335255,suivis,1970,1977
ANAT_PROC,0.5321401,stimulateur cardiaque défibrillateur,1988,2025
DISO,0.9533174,anomalie,2047,2056
PROC,0.9321301,thérapie,2091,2100
PROC,0.80738336,appliquée,2116,2126
ANAT,0.448051,da,2142,2145
LIVB,0.49328962,me,2145,2147
