entity_group,score,word,start,end
LIVB,0.69357014,jeune patiente,17,32
LIVB,0.6497283,ans,42,46
PROC,0.8900806,prise,65,71
PROC,0.84397775,charge,74,81
DISO,0.97479373,syndrome,86,95
DISO,0.5628538,jonction,101,110
ANAT_DISO,0.4439379,pyélo,110,116
DISO,0.36524054,-,116,117
ANAT_DISO,0.44855785,ur,117,119
DISO,0.5691048,été,119,122
ANAT_DISO,0.6787143,rale,122,126
DISO,0.52540547,PU,129,131
DISO,0.93830293,syndrome de Turner,191,210
ANAT_DISO,0.7454648,rein,239,244
CHEM,0.2952908,fer,247,251
DISO,0.9678339,douleurs,293,302
ANAT_DISO,0.8313133,lombaires,302,312
DISO,0.80928,hématurie macroscopique,397,420
PROC,0.7488699,examen clinique,424,439
PROC,0.9636427,uro-scanner,468,479
DISO,0.8059807,syndrome de la,517,532
ANAT_DISO,0.5542287,JPU,532,536
ANAT_DISO,0.7741385,droite,538,545
PROC,0.6929762,scintigraphie au Mag-3 Las,552,579
ANAT,0.28059915,ili,579,582
ANAT_DISO,0.22683468,x,582,583
ANAT_DISO,0.6649432,voie excrétrice,635,651
PROC,0.9527413,bilan,669,675
DISO,0.95593727,hématurie,681,690
DISO,0.7929989,cyst,694,699
PROC,0.6627004,oscopie,699,706
ANAT_DISO,0.7949605,muqueuse vésicale,730,748
DISO,0.803887,hyperémique,748,760
DISO,0.91919583,lésion,770,777
ANAT_DISO,0.39763564,végét,777,783
DISO,0.5799364,ante,783,787
PROC,0.9043303,clichés,824,832
PROC,0.8296733,urétéro-pyélographie,835,855
DISO,0.47688562,rétrograde,855,866
ANAT_DISO,0.51902604,uretère,870,878
ANAT_DISO,0.35404614,pyél,883,888
DISO,0.3866699,ique,888,892
ANAT_DISO,0.4244299,droit,892,898
DISO,0.79709506,dilaté,898,905
PROC,0.48021293,endo,926,931
PROC,0.5341518,al,938,940
PROC,0.82899404,intervention,962,974
PROC,0.87989795,endoprothése,1008,1021
ANAT_DISO,0.5939905,urétérale droite,1021,1038
PROC,0.8436024,urétéroscopie droite,1043,1063
DISO,0.72658604,polypes dig,1126,1138
DISO,0.5792192,tif,1139,1142
DISO,0.59356475,es,1145,1147
DISO,0.8180243,uretère,1191,1198
ANAT_DISO,0.34254104,pyélique,1203,1212
PROC,0.94537383,prélèvements biopsiques,1264,1288
DISO,0.7490483,cytologies,1313,1324
ANAT_DISO,0.43806866,urinaires,1324,1334
DISO,0.86268693,tumeur,1385,1392
ANAT_DISO,0.5375014,papillaire,1392,1403
PROC,0.95664746,prise en charge thérapeutique,1415,1445
PROC,0.5719671,é,1453,1454
PROC,0.9728032,exérèse,1461,1468
PROC,0.36556002,portion,1474,1482
DISO,0.6611384,l’uretère,1495,1505
PROC,0.93129027,plastie,1510,1518
ANAT_DISO,0.38489652,JPU,1524,1528
DISO,0.7268854,lésion tumorale,1554,1570
PROC,0.83082795,per,1612,1616
PROC,0.9429102,opératoire,1617,1627
PROC,0.96887994,résection,1634,1644
ANAT,0.39979824,zone tumorale,1650,1664
ANAT,0.44643384,pièce,1683,1689
DISO,0.5142089,formations polyp,1725,1742
ANAT_DISO,0.33309287,oïdes,1742,1747
ANAT,0.7030938,extrémité,1792,1802
PROC,0.60343325,coupe,1819,1825
DISO,0.7678035,formations,1830,1841
ANAT,0.5568738,polypoïdes,1841,1852
ANAT,0.4911608,axe oedémateux,1863,1878
PROC,0.59019643,diagnostic,1929,1940
DISO,0.8282651,formations,1970,1981
ANAT,0.27171075,polyp,1981,1987
ANAT_DISO,0.5062698,oïdes,1987,1992
ANAT,0.40919596,axe conjonctif,2008,2023
ANAT,0.7889879,sections capillaires,2057,2078
DISO,0.84408504,infiltrat inflammatoire,2114,2138
ANAT,0.7559473,mastocytes,2214,2225
ANAT,0.39209113,formations,2230,2241
ANAT,0.6360817,revêtement,2261,2272
ANAT_DISO,0.52446437,urothélial,2272,2283
DISO,0.4505128,plasique,2327,2335
