entity_group,score,word,start,end
LIVB,0.7432792,22 ans,9,16
ANAT_DISO,0.48465875,testicule gauche,70,87
DISO,0.69211507,infections urinaires,143,163
LIVB,0.7447817,Escherichia Coli,172,189
PROC,0.82088786,examen clinique,196,211
DISO,0.6347052,masse,227,233
ANAT_DISO,0.62351453,testiculaire,233,246
PROC,0.8404554,palpation,268,278
PROC,0.87551135,échographie,297,308
DISO,0.9069719,nodule,311,318
ANAT,0.3393025,tes,326,329
ANAT_DISO,0.58213496,ticulaire,329,338
ANAT,0.4883473,x 22mm,413,420
CHEM,0.55559456,foeto-protéine,464,478
ANAT,0.7526329,bétaHCG,479,487
PROC,0.6488316,réalisé,515,523
PROC,0.7573146,exploration,527,539
ANAT_DISO,0.6972788,testiculaire,539,552
PROC,0.8894326,clampage,585,594
ANAT,0.43921965,cordon,605,612
DISO,0.9421534,lésion,616,623
PROC,0.76673335,examen extemporané,676,694
DISO,0.8041469,kyste,713,719
ANAT_DISO,0.4354112,épidermoïde,719,731
ANAT_DISO,0.79323065,testicule,772,782
PROC,0.61429524,opératoires,794,806
PROC,0.90899193,examens clinique,850,867
PROC,0.7454635,échographique,870,884
ANAT_DISO,0.8298817,testicule,887,897
DISO,0.42425665,conservé,897,906
