entity_group,score,word,start,end,correct_label
LIVB,0.52032566,garçon,27,34,LIVB
LIVB,0.5678434,ans,40,44,LIVB
CHEM,0.32373786,kg,55,58,ANAT
CHEM,0.50563234,mètre,75,81,ANAT
DISO,0.24761687,face,86,90,PHYS
ANAT,0.52444905,corporelle,90,101,PHYS
CHEM,0.6658107,"1,75 m",104,111,ANAT
PROC,0.66341424,diagnostic,155,166,PROC
DISO,0.8039214,ostéosarcome,169,181,DISO
CHEM,0.52698296,fémur distal droit,184,203,ANAT
DISO,0.39892682,métastases,208,219,DISO
CHEM,0.3836324,pulmonaires,219,231,ANAT
PROC,0.5514236,application,235,246,PROC
PROC,0.5215645,protocole,249,259,PROC
CHEM,0.31566656,Children Oncology,262,280,LIVB
LIVB,0.8142945,patient,311,319,LIVB
ANAT,0.28917608,MAP,340,344,PROC
CHEM,0.786642,"doxorubicine 37,5 mg/m2/dose",381,409,CHEM
PROC,0.40332952,association,412,424,CHEM
CHEM,0.94604844,cisplatin,432,442,CHEM
CHEM,0.76068956,60 mg/m2/dose,454,468,CHEM
CHEM,0.95630425,méthotrexate,520,533,CHEM
CHEM,0.67743677,g/m,548,552,CHEM
DISO,0.50084484,MAPIE,598,604,PROC
CHEM,0.9468647,doxorubicine,608,621,CHEM
CHEM,0.80183965,"37,5 mg/m2/dose",633,649,CHEM
CHEM,0.7800921,association,652,664,CHEM
CHEM,0.93741536,cisplatin,672,682,CHEM
CHEM,0.66000956,60 mg/m2/dose,694,708,CHEM
CHEM,0.5597884,semaines,732,741,PHEN
CHEM,0.94979346,méthotrexate,754,767,CHEM
CHEM,0.61122006,12 g/m2/dose,779,792,CHEM
CHEM,0.5193136,"15, 19, 23,",806,818,PHEN
CHEM,0.94847697,ifosfamide,841,851,CHEM
CHEM,0.7655055,g/m,867,871,CHEM
CHEM,0.5660055,dose,873,877,CHEM
CHEM,0.64227134,association,880,892,CHEM
CHEM,0.8505902,’étoposide,899,909,CHEM
CHEM,0.7112458,100 mg/m2/dose,921,936,CHEM
CHEM,0.6876641,32,979,982,CHEM
CHEM,0.88906157,doxorubicine,988,1001,CHEM
CHEM,0.7102654,"37,5 mg/m2/dose",1013,1029,CHEM
CHEM,0.49795076,association,1051,1063,CHEM
CHEM,0.9364012,ifosfamide,1071,1081,CHEM
CHEM,0.7411699,g,1095,1097,CHEM
CHEM,0.66749763,m,1098,1099,CHEM
PROC,0.95291954,traitement,1162,1173,PROC
LIVB,0.9139563,patient,1177,1185,LIVB
DISO,0.96619016,allergie,1206,1215,DISO
CHEM,0.85814935,médicaments,1228,1240,CHEM
DISO,0.86841476,problèmes,1258,1268,DISO
DISO,0.54660165,santé,1271,1277,DISO
PROC,0.53663045,hospitalisation,1296,1311,PROC
DISO,0.94927573,dermatite,1345,1355,DISO
DISO,0.8330391,contact,1358,1366,DISO
ANAT,0.43914142,membre supérieur gauche,1369,1393,ANAT
CHEM,0.45025992,colle,1410,1416,CHEM
CHEM,0.40095994,pansement,1419,1429,CHEM
ANAT_DISO,0.23145223,centrale,1440,1449,ANAT_DISO
DISO,0.96698505,rash,1480,1485,DISO
CHEM,0.27356717,voie centrale,1538,1552,ANAT
PROC,0.91226584,administration,1567,1581,PROC
CHEM,0.41110882,première dose,1587,1601,CHEM
CHEM,0.95339763,méthotrexate,1604,1617,CHEM
LIVB,0.83538944,patient,1621,1629,LIVB
ANAT,0.2686959,stom,1664,1669,LIVB
LIVB,0.43493897,othérapeute,1669,1680,LIVB
CHEM,0.867564,crème de nystatin,1688,1706,CHEM
DISO,0.9535194,rash,1780,1785,DISO
DISO,0.89216113,érythème,1794,1802,DISO
CHEM,0.81868947,crème de nystatin,1806,1824,CHEM
CHEM,0.8645663,crème de diproprionate de bétaméthasone,1848,1888,CHEM
CHEM,0.85516083,"0,05 %,",1890,1898,CHEM
PROC,0.8674358,application topique,1901,1921,PROC
DISO,0.9101759,dermatite,1962,1972,DISO
PROC,0.9330704,administration,2010,2025,PROC
CHEM,0.95690006,méthotrexate,2028,2041,CHEM
CHEM,0.75243264,dose,2049,2054,CHEM
CHEM,0.62037903,jour,2056,2060,CHEM
DISO,0.8764603,réaction allergique,2077,2097,DISO
DISO,0.94280934,réaction allergique,2171,2191,DISO
CHEM,0.81935364,doses,2212,2218,CHEM
CHEM,0.9573772,méthotrexate,2221,2234,CHEM
