entity_group,score,word,start,end
LIVB,0.5810144,Mr S.A,0,6
LIVB,0.7535386,50 ans,17,24
DISO,0.29250827,diabétique,25,36
LIVB,0.5141379,ans,46,50
DISO,0.9218069,tuméfaction,85,97
ANAT_DISO,0.5932899,lombaire droite,97,113
DISO,0.8273577,frissons,127,136
PROC,0.8090613,examen,140,146
DISO,0.83071434,rougeur,162,170
DISO,0.57532114,empâtement,174,185
PROC,0.6838258,crépitation,193,205
ANAT,0.6590113,flanc,218,224
ANAT,0.76462805,paroi thoracique,243,260
ANAT_DISO,0.46961337,droite,260,267
CHEM,0.5989806,glycémie,272,281
CHEM,0.5241337,jeun,283,288
CHEM,0.5202786,"1,71 g/l",295,304
CHEM,0.61967,urée sérique,308,320
CHEM,0.74960786,"0,51 g/l",327,336
CHEM,0.46983916,créatinine,342,353
CHEM,0.7124537,"9,2 mg/l",356,365
CHEM,0.71811616,hémoglobine,369,380
CHEM,0.34722692,"9,5 g",387,393
DISO,0.37751922,hématocrite,401,412
PROC,0.96931267,examen,425,431
ANAT,0.36762673,ologique,443,451
ANAT_DISO,0.5115092,urines,455,462
LIVB,0.6123585,acinétobacter,481,495
PROC,0.9443145,tomodensitométrie,500,518
ANAT_PROC,0.6847774,abdominale,518,529
PROC,0.3879688,images,540,547
ANAT,0.657525,paroi abdominale postérieure,564,593
ANAT,0.4912925,espace périné,602,615
DISO,0.39632964,ph,615,617
ANAT_DISO,0.5253543,rétique droit,617,630
ANAT,0.51757544,rein droit,642,653
DISO,0.70985484,dilatation pyélocal,690,710
ANAT_DISO,0.59434897,icielle droite,710,724
DISO,0.50442874,calcul obstruant,728,745
DISO,0.63620806,jonction,748,757
ANAT_DISO,0.46971163,pyélouré,757,766
DISO,0.45937565,té,766,768
ANAT_DISO,0.5219658,rale droite,768,779
PROC,0.8483251,radiographie,794,807
ANAT_PROC,0.5451976,pulmonaire,807,818
DISO,0.51390564,gaz,841,845
CHEM,0.38969997,paroi,861,867
ANAT,0.44268167,thoracique,867,878
DISO,0.52193314,diagnostic,882,893
DISO,0.68953866,pyélonéphrite emphysémateuse,896,925
LIVB,0.7137295,patient diabétique,944,963
LIVB,0.787088,malade,968,975
LIVB,0.35086152,it,984,986
CHEM,0.84713024,insuline,997,1006
CHEM,0.8334281,antibiotiques,1025,1039
CHEM,0.42411116,tri,1041,1044
CHEM,0.48601207,association,1047,1059
CHEM,0.85995436,ceftazidime,1061,1073
CHEM,0.7931328,gentaline,1074,1084
PROC,0.7143954,lombotomie,1107,1118
ANAT,0.6383345,ème espace interc,1129,1146
PROC,0.8106457,ost,1146,1149
ANAT,0.5340862,al,1149,1151
PROC,0.52552474,-,1171,1172
PROC,0.7093731,drainer,1184,1192
DISO,0.40490323,pus,1204,1208
PROC,0.3770051,ridement,1218,1226
DISO,0.349389,logettes,1229,1238
ANAT,0.39271304,pus périrén,1241,1253
ANAT_DISO,0.49432603,ales,1253,1257
PROC,0.5773969,toilette,1262,1271
DISO,0.8524263,iements,1307,1314
PROC,0.9690092,drainage,1352,1361
PROC,0.95382714,néphrectomie,1415,1428
ANAT,0.6627129,paroi,1440,1446
ANAT,0.4576781,lames,1465,1471
PROC,0.95747924,incisions,1486,1496
PROC,0.9141252,décharges,1499,1509
ANAT,0.5732682,paroi,1540,1546
ANAT_PROC,0.48799917,thoracique,1546,1557
ANAT,0.3451147,Delbet,1600,1607
PROC,0.6508656,post,1636,1641
PROC,0.94724053,opératoire,1642,1652
PROC,0.8826659,urographie intraveineuse,1657,1682
PROC,0.8209228,postopératoire,1709,1724
ANAT,0.60754454,rein droit,1740,1751
DISO,0.9429851,lithiase,1764,1773
DISO,0.70561075,J.P.,1779,1784
ANAT_DISO,0.40420225,U,1784,1785
PROC,0.8949996,néphrectomie,1817,1830
ANAT,0.39417365,droite,1830,1837
PROC,0.96515846,incision,1902,1911
LIVB,0.89375126,patient,1915,1923
ANAT,0.6609717,porte,1926,1932
PHYS,0.415907,fonction,1946,1955
ANAT_DISO,0.41482535,rénale,1955,1962
ANAT,0.5513972,rein gauche,1974,1986
PROC,0.8933017,échographie,2002,2013
DISO,0.9549041,diabète,2018,2026
