entity_group,score,word,start,end
LIVB,0.8543987,patient,2,10
LIVB,0.74410766,66 ans,13,20
PROC,0.97912264,traité,21,28
PROC,0.7226675,an,31,34
DISO,0.8871208,adénocarcinome,50,65
ANAT_DISO,0.8531418,rectal,65,72
PROC,0.89258295,amputation abdomino-périnéale,76,106
PROC,0.96861625,radiothérapie,111,125
PROC,0.94771606,chimiothérapie,128,143
DISO,0.88325167,urétérohydronéphrose,176,197
ANAT_DISO,0.4583367,rop,224,227
ANAT_DISO,0.5012156,itonéale,229,237
PROC,0.48644137,radique,242,250
DISO,0.788762,insuffisance,255,268
ANAT_PROC,0.48307317,rénale,268,275
CHEM,0.87189615,370 mmol/l,277,288
CHEM,0.88141435,créatinine,291,302
PROC,0.5721077,montée,306,313
DEVI,0.43932915,sondes double J standard,316,341
ANAT_PROC,0.3319708,fonction,390,399
ANAT_DISO,0.46709472,rénale,399,406
PROC,0.68327254,montée,447,454
DEVI,0.5042666,sondes double J,457,473
PROC,0.30419222,tr,473,476
DEVI,0.38955104,è,476,477
PROC,0.38570255,flées,477,482
PROC,0.38322514,dilatation,512,523
ANAT_PHYS,0.29426345,fonction,546,555
ANAT_PROC,0.36980337,rénale,555,562
CHEM,0.7806131,mmol/l,568,575
PROC,0.91565067,suivi,593,599
